French,English
histoire,history
chercher,search
pensais,thought
demande,request
frère,brother
laisser,let
mettre,to put
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
pendant,while
revoir,meet again
parle,speak
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
corps,body
yeux,eyes
écoute,listen
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
point,point
venu,came
suite,after
pardon,sorry
minutes,minutes
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
